Brewery,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
Maui Brewing Co.,41,2,2,2,0,3,9,2,8,0,1,8,6,3,27,87,5,4,2,12,1,5,0,5,0,6,0,11,45,2,1,34,27,0,1,0,1,20,7,5,14,4,3,15,15,1,3,5,5,1,1
21st Amendment Brewery,46,2,6,17,0,11,72,2,48,0,0,70,6,1,11,105,37,14,3,60,0,3,4,23,0,2,0,1,3,2,8,129,39,1,4,0,0,20,5,10,2,11,3,34,48,0,3,54,11,13,0
Bluegrass Brewing Co.,7,11,3,16,0,4,13,0,23,0,4,27,7,0,15,35,18,21,5,108,1,14,118,7,0,4,0,0,20,1,41,62,69,0,5,2,0,43,57,9,9,2,3,7,15,2,13,11,18,0,1
Brau Brothers Brewing Co. LLC,6,8,0,3,0,1,5,0,4,0,6,5,0,1,5,14,2,7,0,7,1,5,1,2,5,4,0,0,8,1,2,11,2,1,0,0,0,20,2,37,0,2,0,4,5,1,7,210,23,1,0
Jackie O's Pub &amp; Brewery,7,1,2,10,0,2,8,2,8,0,0,28,3,2,15,72,2,6,1,174,0,23,0,4,0,1,0,0,8,0,3,48,44,0,0,0,0,54,11,0,2,5,1,15,15,0,1,7,5,1,2
O'Fallon Brewery,1,32,0,6,3,3,5,1,14,1,7,14,2,2,34,18,7,8,16,103,24,2,33,1,0,0,0,0,28,7,8,54,11,1,9,3,0,163,16,35,3,2,1,2,23,0,158,26,56,1,3
Cisco Brewers Inc.,15,7,0,40,0,66,62,1,32,0,0,108,34,0,23,49,26,89,2,19,1,21,1,10,0,8,0,0,21,5,1,119,35,0,1,3,13,66,7,1,9,1,39,17,263,4,10,13,9,1,0
New Albanian Brewing Company Pizzeria and Public House,0,1,0,5,0,1,2,0,2,0,0,1,0,0,2,6,4,1,1,9,0,0,30,2,0,0,0,0,0,1,2,6,1,0,0,0,0,12,41,0,0,0,0,1,7,0,3,3,2,0,0
Columbus Brewing Company,5,4,0,3,0,2,3,1,6,0,2,12,3,1,2,17,3,1,0,142,0,11,1,5,0,3,0,0,4,0,6,22,9,0,0,1,1,14,4,3,0,2,0,5,14,0,3,10,9,0,1
Pipeworks Brewing Company,8,14,0,2,0,0,1,1,7,0,0,12,2,1,3,22,3,2,0,15,0,1,1,4,0,14,0,0,1,5,0,13,7,0,0,0,0,425,12,1,0,0,0,2,15,0,0,4,11,0,0
Arcadia Brewing Company,12,20,7,15,2,6,54,1,17,0,7,99,10,4,18,37,16,12,14,189,20,6,40,10,0,7,0,1,30,3,10,175,29,4,1,0,1,212,33,24,2,2,6,23,70,2,79,28,314,8,0
Mother Earth Brewing,13,4,1,15,0,2,22,0,150,0,0,34,6,1,2,25,32,3,2,10,6,28,9,0,0,3,0,0,9,0,13,51,32,0,3,0,2,17,1,0,3,0,0,10,20,0,1,9,1,0,0
City Steam Brewery Café,0,0,0,0,0,0,1,0,1,0,0,5,1,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0
Highland Brewing,8,11,4,82,0,5,34,1,230,0,1,41,3,0,10,27,97,13,2,68,0,84,20,9,0,3,0,1,23,8,53,72,67,1,20,0,1,26,9,4,5,0,12,23,28,3,16,17,14,1,8
Alaskan Brewing Co.,117,59,2,10,8,7,23,3,10,0,3,21,4,19,106,226,6,11,5,29,2,13,2,62,0,3,0,1,90,9,6,40,9,12,10,0,4,45,11,9,38,14,3,5,34,6,19,174,8,10,2
New Planet Beer Company,1,0,0,2,0,0,2,1,2,0,1,2,0,0,5,8,2,0,0,2,1,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,2,0,1,2,0,0,0,2,0,2,1,0,0,0
Notch Brewing,1,0,0,0,0,3,0,0,0,0,0,2,3,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,0,0,0,0,0,1,2,0,0,0,2,0,72,0,0,0,0,0,0
Central City Brewing,13,2,0,0,0,4,3,0,1,0,1,3,3,1,2,7,0,2,0,2,0,1,0,2,0,0,0,0,2,0,0,38,6,0,1,0,2,8,0,0,0,0,4,3,31,1,0,6,2,1,0
Bayou Teche Brewery,1,1,1,4,0,1,3,0,3,0,0,2,3,0,1,2,4,2,1,2,0,4,0,3,0,0,0,0,9,30,2,8,4,0,7,2,2,8,0,0,2,1,0,0,5,2,1,1,1,0,5
Mankato Brewery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,8,0,0,0
Black Raven Brewing Co.,28,0,0,0,0,1,0,0,1,0,0,1,0,2,1,2,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Big Time Brewery &amp; Alehouse,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Stevens Point Brewery,0,180,8,15,0,12,35,1,21,1,15,58,4,4,13,13,18,8,25,62,13,19,20,0,1,0,0,0,18,11,7,83,21,4,9,3,0,150,31,47,1,6,1,8,17,2,52,105,53,0,12
La Cumbre Brewing Co.,0,0,0,0,0,1,0,7,0,0,0,0,0,1,2,10,1,0,1,2,0,0,0,2,0,1,0,0,2,0,0,7,0,0,0,0,0,6,2,1,0,0,1,0,6,0,1,3,0,0,0
Hardywood Park Craft Brewery,2,0,0,6,0,0,3,0,6,0,0,8,0,0,0,4,3,5,0,2,0,4,1,0,0,0,0,2,0,0,2,11,57,0,0,0,0,9,3,0,0,0,0,13,14,0,3,5,1,0,0
Grand Lake Brewing Company,0,0,0,0,2,1,1,0,0,0,1,3,1,0,29,1,1,1,2,1,2,1,3,0,0,0,0,0,1,0,1,0,3,0,1,0,0,1,0,2,1,1,1,0,1,1,1,1,2,0,0
Charleville Vineyard Microbrewery,1,1,1,1,0,0,2,0,1,0,0,8,1,0,0,8,5,2,3,5,1,2,1,0,0,0,0,0,3,1,3,6,1,0,0,5,0,24,3,0,2,1,0,3,5,0,21,6,0,0,0
Flossmoor Station Restaurant &amp; Brewery,3,2,0,6,1,1,5,0,3,0,1,10,2,0,2,15,5,3,4,21,0,4,5,0,0,1,0,0,2,1,0,12,6,0,2,0,0,73,5,11,1,1,0,4,4,1,8,9,1,0,0
Sun King Brewing Company,0,3,0,3,0,3,1,0,5,0,2,7,0,1,2,20,1,2,2,32,1,3,5,0,0,2,0,0,1,1,0,20,7,0,4,0,1,40,120,2,3,1,0,3,13,0,3,9,1,1,0
Harpoon Brewery,11,3,21,38,0,55,86,3,45,0,0,181,39,1,13,31,33,71,7,55,2,28,16,1,0,1,0,0,64,10,25,182,53,2,21,1,21,37,37,2,2,0,49,60,259,1,6,10,44,4,1
Wachusett Brewing Company,6,0,0,10,2,53,42,0,15,0,0,100,45,0,6,28,6,59,1,4,0,15,2,3,0,4,0,1,8,0,2,61,9,0,2,0,11,6,4,6,7,3,20,12,405,4,13,11,0,1,0
Speakeasy Ales &amp; Lagers,14,2,1,3,0,8,27,2,9,0,0,103,7,16,8,221,4,12,1,16,2,4,2,24,0,1,0,0,15,2,1,46,33,0,4,1,2,5,8,3,7,1,0,14,19,2,4,4,12,3,2
Abita Brewing Co.,14,41,4,77,0,11,45,6,51,0,4,112,9,2,31,95,58,24,22,65,9,28,29,21,1,6,0,0,108,89,32,150,55,1,27,7,6,83,40,11,20,3,4,47,59,0,51,46,35,17,27
Deschutes Brewery,158,33,8,38,8,12,40,11,23,2,4,70,15,39,127,403,21,21,13,38,21,10,13,150,2,10,0,7,137,4,8,103,39,4,8,2,1,163,27,19,74,20,14,33,78,7,60,146,20,23,5
Marshall Wharf Brewing Company / Three Tides Restaurant,0,1,0,0,0,4,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,9,2,2,0,0,0,1,0,0
Atlantic Brewing Company,2,11,3,14,0,28,46,0,13,0,1,46,9,0,10,12,28,21,3,23,0,4,3,6,0,1,0,0,27,5,10,76,18,0,4,1,5,15,5,4,3,1,56,34,118,2,2,22,9,0,2
Caldera Brewing Company,42,2,0,12,1,7,22,1,33,0,2,10,2,6,5,109,5,5,13,10,3,4,13,49,0,3,0,0,6,2,18,58,23,0,1,0,0,26,5,7,3,7,2,6,12,1,3,11,8,1,1
Great Lakes Brewing Company,18,69,35,21,0,9,71,7,90,0,5,156,11,1,27,53,25,22,6,339,1,11,78,11,0,4,0,1,28,13,31,265,93,2,5,0,1,214,40,14,4,5,8,47,47,1,11,93,148,13,1
Fullsteam Brewery,1,0,0,0,0,1,0,0,29,0,0,2,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0
Joseph James Brewing Inc.,10,1,0,2,0,1,1,1,1,0,0,4,1,6,1,16,2,0,0,1,1,1,2,4,0,1,0,0,6,0,1,4,1,0,1,2,0,17,1,1,2,2,1,1,2,0,0,3,0,1,0
Nimbus Brewing Company,2,8,0,7,2,1,9,2,5,0,4,11,1,5,7,60,13,11,1,6,0,1,0,14,0,1,0,0,11,0,1,20,5,1,0,2,0,7,2,1,60,0,0,3,6,3,0,4,5,1,0
Green Man Brewery,1,0,0,4,0,1,2,0,34,0,0,3,0,0,0,1,6,1,0,1,0,10,5,1,0,0,0,0,0,0,2,3,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
Crooked Stave Artisan Beer Project,18,3,0,4,0,0,8,0,8,0,0,8,2,0,106,35,2,3,0,6,0,3,0,2,0,1,0,0,2,0,0,16,10,0,3,0,2,31,6,0,2,0,0,3,3,0,0,4,2,0,2
Berkshire Brewing Company Inc.,15,7,3,15,0,61,48,1,30,0,1,78,72,1,20,30,8,216,3,25,0,12,3,3,0,0,0,3,18,2,3,96,29,3,0,3,28,40,17,3,6,4,24,22,547,8,4,16,6,5,1
Red Rock Brewing Company,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,4,0,0,0,1,0
Old Schoolhouse Brewery,21,2,0,0,0,1,3,0,1,0,0,4,0,1,2,4,0,0,0,1,0,0,0,3,0,0,0,0,1,2,0,5,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0
Captain Lawrence Brewing Co.,21,6,0,24,4,11,104,0,15,0,0,441,14,1,16,105,15,119,3,45,0,22,3,12,0,5,0,0,20,3,5,121,41,0,1,0,2,95,15,1,11,1,6,29,69,2,5,25,14,0,0
East End Brewing Company,5,1,9,4,0,6,6,0,5,0,0,9,3,0,8,22,13,13,3,28,0,6,2,8,0,1,0,0,2,1,0,216,8,4,0,0,1,21,10,1,1,0,4,5,12,3,1,7,2,4,0
Laughing Dog Brewing,60,25,6,39,0,7,47,0,30,0,1,42,1,7,6,66,20,21,25,42,10,13,13,24,0,8,0,0,36,2,11,75,51,0,4,1,1,44,6,15,13,23,1,24,31,8,15,18,17,5,4
North Peak Brewing Company,2,4,4,2,1,4,0,3,2,0,0,5,1,0,2,6,1,7,0,118,0,4,6,3,0,0,0,0,2,0,4,16,9,0,0,0,0,24,5,1,0,0,2,1,5,0,0,2,100,4,0
Westbrook Brewing Co.,5,1,0,16,0,1,2,0,22,0,0,9,1,0,2,10,31,5,0,6,0,73,4,0,0,3,0,0,2,1,4,17,13,0,8,0,0,13,6,1,1,0,1,9,14,0,5,4,0,1,3
Mendocino Brewing Company,17,20,5,16,2,8,33,2,43,0,0,107,4,11,15,170,28,19,11,50,9,31,11,15,0,0,0,0,27,10,10,66,23,1,8,3,4,56,13,22,11,8,2,26,38,3,15,24,13,4,1
Flying Dog Brewery,32,50,22,44,0,26,103,1,67,0,5,137,11,4,21,169,25,25,21,88,1,16,20,13,0,26,0,1,25,1,16,283,92,0,18,1,4,100,44,16,13,1,18,220,64,1,2,57,72,10,1
Gigantic Brewing Company,12,0,0,2,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,2,0,0,3,1,2,0,0,2,0,3,1,0,0,0,0,1,0
Magnolia Pub &amp; Brewery,2,1,0,0,0,1,0,0,3,0,0,1,0,1,1,24,0,0,0,1,0,0,0,10,0,0,0,0,4,0,0,4,0,0,2,0,0,4,0,0,0,0,0,1,3,0,1,0,1,0,0
Christian Moerlein Brewing Company,4,8,2,16,3,0,12,0,7,0,0,18,5,0,4,13,7,3,1,179,0,9,67,0,0,0,0,0,14,0,16,11,10,0,3,0,0,17,13,4,3,1,5,2,3,0,3,4,7,1,3
Redhook Ale Brewery,120,24,3,31,0,61,24,9,53,1,8,74,17,5,47,116,20,41,16,34,7,22,13,41,1,1,0,2,76,9,15,93,51,4,9,1,5,49,11,15,15,14,27,28,81,3,19,65,25,11,5
Outer Banks Brewing Station,0,0,0,0,0,0,2,0,5,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,6,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Elysian Brewing Company,322,15,0,12,0,3,90,0,13,0,3,102,6,3,66,59,11,17,3,32,1,3,0,70,0,4,0,0,23,5,7,209,12,7,4,1,11,27,4,3,6,22,2,43,24,4,5,9,12,11,0
Olvalde Farm &amp; Brewing Company,1,3,0,0,0,0,0,0,0,0,0,4,0,0,4,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,7,0,2,0,0,0,0,0,0,1,61,1,0,0
Blue Mountain Brewery,7,0,1,10,1,5,16,0,27,0,0,19,0,0,2,14,11,4,0,9,0,5,4,2,0,0,0,0,6,2,3,43,125,0,7,0,0,9,0,1,5,1,4,14,7,1,2,5,2,0,0
Moat Mountain Smoke House &amp; Brewing Co.,0,1,0,0,0,37,2,0,2,0,0,2,2,0,2,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,1,0,1,3,0,0,2,1,21,1,45,0,0,0,0,0,0
Steamworks Brewing Co.,5,5,0,3,4,2,6,10,6,0,0,8,1,3,56,13,4,3,8,6,0,1,1,4,0,1,0,0,65,0,0,32,23,0,0,1,0,9,0,3,12,0,2,4,8,1,2,22,1,0,0
Knee Deep Brewing Company,5,1,0,14,0,0,14,3,4,0,0,9,2,9,4,143,7,0,0,13,0,1,1,6,0,1,0,1,1,2,3,7,5,0,3,0,3,12,4,0,7,0,0,3,6,0,3,3,2,0,1
Southampton Publick House,24,14,1,45,3,15,113,2,24,0,6,273,19,0,34,83,41,62,14,57,3,21,15,27,0,5,0,2,21,10,12,286,60,2,4,3,4,82,24,7,6,5,8,45,120,3,12,32,12,2,0
Fort George Brewery + Public House,28,0,0,0,0,0,1,0,2,0,0,1,0,2,4,5,2,0,0,1,0,1,0,23,0,1,0,0,0,2,0,7,2,0,0,0,0,3,1,0,2,1,0,1,2,0,0,4,0,0,0
Steel Toe Brewing,4,1,0,1,1,1,2,0,2,0,0,7,0,1,2,10,2,0,0,3,0,3,1,1,0,2,0,0,1,1,0,10,3,1,0,0,0,23,4,3,1,0,0,2,1,0,4,122,3,0,0
Erie Brewing Co.,2,0,6,62,0,1,50,0,19,0,0,73,2,1,9,11,3,13,1,53,0,13,14,11,0,3,0,1,4,2,2,249,16,0,10,0,0,19,5,4,0,0,2,15,31,1,3,3,23,8,0
Upland Brewing Company,14,74,1,30,1,10,22,1,30,0,0,67,5,1,36,104,35,17,3,124,0,43,63,11,0,2,0,0,18,1,15,90,51,0,4,0,3,205,359,5,14,10,14,28,27,3,17,35,25,3,0
Freetail Brewing Company,12,4,0,2,0,1,2,0,3,0,0,20,0,0,1,18,7,2,0,8,0,7,0,1,0,2,0,0,63,2,1,10,7,0,0,0,1,35,8,0,2,0,0,4,8,0,0,6,0,0,1
Atwater Block Brewery,7,16,3,16,1,26,18,0,30,0,0,68,8,0,7,7,9,16,1,59,1,8,14,2,0,2,0,0,6,3,12,124,23,0,0,0,6,50,19,11,3,1,3,9,52,0,8,25,192,6,1
Hopworks Urban Brewery,115,5,0,5,0,4,4,0,12,0,1,9,0,4,3,37,12,4,0,8,0,2,2,100,0,0,0,1,7,1,0,33,5,0,0,0,1,15,4,5,3,7,0,13,15,1,2,7,7,1,0
Cricket Hill Brewing Co.,3,0,0,6,4,1,106,0,6,0,2,30,8,0,2,10,6,11,2,7,0,8,1,3,0,1,0,0,2,1,2,57,6,0,0,0,2,3,7,5,5,0,7,3,12,5,0,2,0,0,0
Triton Brewing Company,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0
Peak Organic Brewing Company,11,11,1,70,0,74,26,0,35,0,0,144,18,2,8,31,37,43,1,11,1,17,1,1,0,2,0,0,2,1,1,55,41,0,1,0,9,15,4,1,0,0,65,23,185,4,2,12,2,0,0
Dick's Brewing Company,118,3,0,4,0,8,8,0,11,0,0,23,0,0,13,28,6,5,7,12,2,4,1,77,0,0,0,0,9,2,4,35,2,0,0,1,1,7,0,9,15,1,0,1,2,5,1,7,5,1,0
Buffalo Bill's Brewery,9,10,2,12,0,0,21,2,6,0,4,29,4,1,8,30,2,9,2,23,3,7,5,6,0,1,0,0,18,2,0,35,15,1,0,0,1,26,10,8,10,0,0,12,14,0,10,4,16,2,1
Flat Earth Brewing Company,6,10,0,5,2,0,4,0,5,0,0,9,0,0,9,19,3,7,1,24,1,6,2,3,0,0,0,0,4,1,1,30,4,0,0,2,1,6,2,11,4,2,4,6,4,0,7,248,6,0,2
Third Street Brewhouse,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,2,0,0,1,28,0,0,0
BridgePort Brewing Co. / Brewpub,123,12,0,10,2,2,4,8,19,0,5,5,0,11,67,65,38,7,35,11,10,6,6,121,0,0,0,0,51,9,17,20,9,1,4,4,0,77,4,4,27,16,0,3,14,2,12,16,3,3,0
Maine Beer Company,9,1,0,7,0,19,50,1,7,0,0,75,14,3,3,19,6,31,0,9,1,6,1,5,0,6,0,0,2,1,7,82,34,0,0,0,9,32,9,0,1,1,37,8,96,3,1,12,5,0,5
New Holland Brewing Company,15,79,18,39,0,6,72,1,82,0,2,64,12,2,17,43,40,14,13,196,6,43,71,13,0,3,0,0,40,6,14,235,97,3,4,2,8,257,88,19,9,1,5,34,40,0,68,104,301,16,0
Tuckerman Brewing Co.,1,0,0,4,0,32,8,0,3,0,0,13,12,0,7,4,2,8,0,1,0,1,0,3,0,1,0,0,1,0,0,15,2,0,0,0,2,3,0,0,3,1,11,5,68,1,0,2,2,0,1
Terrapin Beer Company,11,9,8,148,0,6,100,4,98,0,0,67,4,1,16,35,160,12,7,42,3,63,9,8,0,9,0,0,27,8,34,149,76,0,35,0,2,64,23,5,2,3,12,27,45,1,10,28,11,5,10
Tin Roof Brewing Company,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,0,0,0,1,0,0,0,0,3,7,1,3,1,0,0,0,1,2,2,0,0,1,0,0,1,0,0,0,0,0,1
Minhas Craft Brewery,24,133,1,37,0,17,18,5,39,0,11,86,3,3,7,162,35,9,13,65,7,16,41,16,0,2,0,1,50,5,11,58,35,2,6,1,0,192,58,39,5,3,21,23,59,0,57,92,44,1,7
Sebago Brewing Company,5,3,0,3,0,56,10,0,16,0,1,22,15,0,6,4,6,50,1,5,0,9,2,1,0,0,0,0,4,0,2,15,6,4,0,0,3,11,1,1,0,1,94,15,113,3,0,5,2,0,1
Heretic Brewing Company,2,0,0,0,0,0,5,1,2,0,1,4,0,0,0,85,0,2,0,0,0,0,0,3,0,1,0,0,4,0,3,2,4,0,1,0,0,11,7,1,0,6,0,1,3,0,0,0,0,0,0
Aviator Brewing Company,0,0,0,5,0,0,5,2,45,0,0,2,0,0,0,3,5,1,0,0,0,9,3,0,0,2,0,0,0,0,0,6,4,0,0,0,0,4,0,0,0,0,0,2,1,0,0,2,0,0,0
Left Hand Brewing Company,45,42,6,101,1,14,65,14,57,0,6,90,12,4,110,54,62,15,36,119,22,22,37,12,0,1,0,4,116,14,20,131,71,2,15,7,8,126,53,22,27,0,4,14,99,1,59,69,56,7,1
"Pyramid Breweries, Inc.",71,8,1,4,2,3,19,7,23,0,5,35,3,3,24,114,8,10,7,31,3,10,6,47,0,1,0,2,32,3,2,23,19,0,1,0,0,34,8,3,16,12,1,9,27,4,18,23,9,5,0
Midnight Sun Brewing Co.,108,13,1,20,3,9,26,2,19,0,1,86,4,3,19,253,34,17,13,35,1,18,7,57,0,4,0,0,19,7,3,85,27,49,4,0,2,63,12,7,9,16,1,21,49,2,21,35,17,1,2
Boulder Beer / Wilderness Pub,15,27,3,48,9,20,54,3,35,1,7,75,6,18,125,78,25,33,4,78,25,21,24,15,0,0,0,0,23,10,20,154,33,1,11,1,2,68,46,12,15,3,7,21,83,4,29,52,30,7,0
New Glarus Brewing Company,59,413,11,33,3,11,59,0,32,1,8,82,12,10,69,139,21,27,1,104,3,22,31,14,2,11,0,0,27,4,13,111,54,2,2,2,5,546,84,88,8,6,5,33,95,1,38,327,38,1,1
Kuhnhenn Brewing Company,11,27,0,23,1,13,27,1,39,0,1,145,7,4,37,150,34,58,11,107,0,19,15,15,0,4,0,0,14,5,4,146,43,0,0,7,4,139,27,11,15,2,11,30,74,1,11,51,246,0,1
Big Sky Brewing Company,60,34,0,10,3,0,16,6,12,0,17,24,8,11,64,114,8,4,26,27,24,10,8,18,0,0,0,0,61,6,7,35,16,0,2,0,1,116,13,36,38,25,2,10,21,4,51,73,76,29,0
Lagunitas Brewing Company,59,47,21,64,3,21,90,5,45,0,9,152,22,14,59,310,70,48,10,78,11,23,10,36,1,6,0,0,107,4,28,170,70,1,18,5,19,142,16,5,31,7,29,56,120,3,29,71,97,15,4
Russian River Brewing Company,59,29,14,44,1,14,68,5,37,0,7,98,15,30,72,747,28,23,9,59,1,23,16,45,0,12,0,2,44,3,6,202,64,0,28,1,12,146,44,4,20,6,7,55,85,0,35,47,18,5,7
