"Rating","Style","Name","Num Reviews","Locations","Link","Brewery","Light","Dark","Roasted","Sweet","Bitter","Carbonation","Fruit","Spice","Sour","Smokey","Total Count"
"65","Euro Strong Lager","Baltika #9 Extra (Strong)","100","{'Brazil': 1, 'Iowa': 1, 'Serbia': 1, 'Oklahoma': 2, 'Delaware': 1, 'Minnesota': 8, 'Illinois': 1, 'Netherlands': 1, 'Maryland': 5, 'Louisiana': 3, 'Texas': 8, 'Arizona': 1, 'Wisconsin': 2, 'Michigan': 3, 'Virginia': 3, 'Oregon': 1, 'Connecticut': 2, 'New York': 3, 'California': 10, 'Idaho': 1, 'South Carolina': 2, 'New Hampshire': 2, 'Spain': 1, 'Massachusetts': 1, 'Georgia': 3, 'Pennsylvania': 6, 'Kentucky': 2, 'Rhode Island': 1, 'Missouri': 1, 'Ohio': 5, 'Colorado': 1, 'New Jersey': 7, 'Washington': 3, 'North Carolina': 1, 'Tennessee': 1, 'Montana': 1, 'District of Columbia': 1, 'Maine': 2}","http://beeradvocate.com/beer/profile/401/1967/?sort=topr","Baltika Breweries","383","75","15","307","61","208","69","6","18","4","1146"
"66","Euro Strong Lager","Elephant Beer","100","{'Iowa': 1, 'India': 1, 'Delaware': 1, 'Minnesota': 4, 'Illinois': 7, 'Georgia': 3, 'Indiana': 1, 'Maryland': 4, 'Louisiana': 1, 'Texas': 1, 'Australia': 4, 'Wisconsin': 2, 'United Kingdom (Scotland)': 1, 'Michigan': 4, 'Jordan': 1, 'Utah': 1, 'Virginia': 5, 'Connecticut': 3, 'Tennessee': 1, 'California': 5, 'Massachusetts': 4, 'Belgium': 2, 'Germany': 2, 'Netherlands': 1, 'Pennsylvania': 12, 'Quebec (Canada)': 1, 'Florida': 5, 'Rhode Island': 1, 'Sweden': 1, 'Missouri': 2, 'Ohio': 4, 'Alabama': 2, 'New Jersey': 1, 'Washington': 2, 'North Carolina': 1, 'New York': 4, 'Nevada': 1, 'Maine': 3}","http://beeradvocate.com/beer/profile/721/1996/?sort=topr","Carlsberg Danmark A/S","412","88","15","236","128","192","37","10","13","0","1131"
"70","Euro Strong Lager","Lion Imperial Premium Malt Pilsner","100","{'Alberta (Canada)': 1, 'Minnesota': 7, 'Illinois': 6, 'Arkansas': 1, 'Louisiana': 2, 'Texas': 1, 'Iowa': 1, 'Wisconsin': 2, 'Michigan': 10, 'Utah': 1, 'Virginia': 1, 'Connecticut': 1, 'California': 7, 'Massachusetts': 1, 'West Virginia': 1, 'South Carolina': 2, 'Georgia': 3, 'Pennsylvania': 3, 'Florida': 9, 'Kentucky': 1, 'Rhode Island': 2, 'Missouri': 3, 'Ohio': 8, 'Colorado': 8, 'New Jersey': 5, 'Washington': 1, 'North Carolina': 4, 'New York': 7}","http://beeradvocate.com/beer/profile/389/50399/?sort=topr","Ceylon / Lion Brewery Limited","401","118","17","346","109","184","119","22","34","1","1351"
"76","Euro Strong Lager","Warka Strong","100","{'Alberta (Canada)': 2, 'Illinois': 12, 'Indiana': 1, 'Ontario (Canada)': 21, 'Manitoba (Canada)': 2, 'Australia': 5, 'Wisconsin': 1, 'Michigan': 4, 'Connecticut': 4, 'New Hampshire': 1, 'Massachusetts': 8, 'Denmark': 1, 'California': 6, 'Pennsylvania': 5, 'Quebec (Canada)': 2, 'Florida': 3, 'Sweden': 1, 'Arizona': 1, 'Iowa': 1, 'United Kingdom (Northern Ireland)': 1, 'Colorado': 4, 'New Jersey': 5, 'North Carolina': 1, 'Austria': 1, 'New York': 5, 'United Kingdom (England)': 2}","http://beeradvocate.com/beer/profile/2656/24179/?sort=topr","Browary Warka Sp. z o.o.","336","153","15","431","105","205","75","17","14","5","1356"
"70","Euro Strong Lager","Okocim Mocne","87","{'Alberta (Canada)': 3, 'Minnesota': 2, 'Illinois': 1, 'Ireland': 1, 'Indiana': 1, 'United Kingdom (Northern Ireland)': 1, 'Ontario (Canada)': 19, 'Australia': 2, 'Wisconsin': 1, 'Michigan': 2, 'Oregon': 1, 'California': 12, 'Massachusetts': 1, 'Germany': 2, 'Georgia': 1, 'Pennsylvania': 3, 'Quebec (Canada)': 2, 'Florida': 4, 'Rhode Island': 1, 'Arizona': 1, 'Ohio': 4, 'Alabama': 1, 'France': 1, 'New Jersey': 5, 'Washington': 1, 'North Carolina': 1, 'Austria': 1, 'New York': 8, 'United Kingdom (England)': 3, 'British Columbia (Canada)': 1}","http://beeradvocate.com/beer/profile/568/1554/?sort=topr","Browar Okocim S.A. (Carlsberg)","349","105","24","259","104","190","58","15","13","0","1117"
"77","Euro Strong Lager","Hevelius Kaper","84","{'Vermont': 1, 'Arizona': 3, 'Wisconsin': 7, 'New Hampshire': 1, 'Pennsylvania': 10, 'North Carolina': 1, 'Florida': 10, 'Minnesota': 2, 'Oregon': 1, 'Illinois': 11, 'New Jersey': 4, 'Connecticut': 3, 'New York': 13, 'California': 7, 'Massachusetts': 5, 'Indiana': 1, 'Ohio': 2, 'Louisiana': 1, 'Iowa': 1}","http://beeradvocate.com/beer/profile/672/1853/?sort=topr","Elbrewery Co. Ltd. Sp. z o.o.","196","109","16","283","94","145","92","34","17","1","987"
"69","Euro Strong Lager","Lobster Lovers Beer","72","{'Iowa': 1, 'Minnesota': 1, 'Illinois': 3, 'Indiana': 1, 'Maryland': 2, 'Arizona': 4, 'Wisconsin': 2, 'Michigan': 6, 'Virginia': 2, 'Oregon': 2, 'New York': 1, 'New Hampshire': 2, 'Massachusetts': 7, 'South Carolina': 3, 'Georgia': 5, 'Pennsylvania': 7, 'Florida': 1, 'Kentucky': 1, 'Rhode Island': 2, 'Ohio': 7, 'Alabama': 1, 'Colorado': 1, 'New Jersey': 1, 'Washington': 3, 'North Carolina': 2, 'Tennessee': 2, 'Maine': 2}","http://beeradvocate.com/beer/profile/12224/40176/?sort=topr","Rinkuškiai Alaus Darykloje","253","77","8","257","66","131","80","13","27","1","913"
"84","Euro Strong Lager","Christoffel Nobel","83","{'Alberta (Canada)': 1, 'Illinois': 2, 'Georgia': 3, 'Maryland': 1, 'Norway': 1, 'Texas': 1, 'Ontario (Canada)': 37, 'Manitoba (Canada)': 1, 'Australia': 2, 'Wisconsin': 1, 'Virginia': 1, 'Oregon': 1, 'District of Columbia': 1, 'California': 2, 'Massachusetts': 4, 'Germany': 1, 'Spain': 1, 'Netherlands': 3, 'Pennsylvania': 3, 'Quebec (Canada)': 2, 'Florida': 1, 'Nova Scotia (Canada)': 1, 'Rhode Island': 1, 'Sweden': 1, 'South Dakota': 1, 'North Carolina': 1, 'New York': 2, 'United Kingdom (England)': 1, 'Nevada': 2, 'Maine': 1, 'British Columbia (Canada)': 1}","http://beeradvocate.com/beer/profile/553/46952/?sort=topr","Bierbrouwerij Sint Christoffel B.V","293","120","52","203","250","165","142","32","26","3","1286"
"60","Euro Strong Lager","Bavaria 8.6 Original","49","{'Alberta (Canada)': 6, 'Minnesota': 1, 'Illinois': 2, 'United Kingdom (Northern Ireland)': 1, 'Ontario (Canada)': 10, 'Australia': 3, 'Wisconsin': 1, 'Michigan': 2, 'New York': 1, 'California': 2, 'Belgium': 1, 'Spain': 2, 'Netherlands': 1, 'Pennsylvania': 4, 'Finland': 1, 'Nova Scotia (Canada)': 2, 'South Carolina': 1, 'France': 1, 'Portugal': 1, 'South Africa': 1, 'New Jersey': 1, 'Prince Edward Island (Canada)': 1, 'Colombia': 1, 'United Kingdom (England)': 1, 'British Columbia (Canada)': 1}","http://beeradvocate.com/beer/profile/498/1423/?sort=topr","Bavaria Brouwerij N.V.","165","49","1","122","33","94","25","4","5","1","499"
"57","Euro Strong Lager","Faxe Extra Strong","37","{'Netherlands': 1, 'South Africa': 1, 'Pennsylvania': 2, 'Quebec (Canada)': 4, 'Alberta (Canada)': 3, 'Nova Scotia (Canada)': 2, 'Illinois': 1, 'Sweden': 1, 'New Brunswick (Canada)': 1, 'South Carolina': 1, 'Ohio': 1, 'Michigan': 3, 'Ontario (Canada)': 16}","http://beeradvocate.com/beer/profile/783/2462/?sort=topr","Royal Unibrew A/S","97","45","2","65","38","54","16","1","5","4","327"
"64","Euro Strong Lager","Gubernija Grand 9.5 Beer","47","{'Iowa': 1, 'Pennsylvania': 4, 'Alberta (Canada)': 3, 'Missouri': 1, 'Illinois': 3, 'Connecticut': 1, 'New York': 4, 'California': 5, 'Massachusetts': 1, 'Indiana': 1, 'South Carolina': 1, 'Wisconsin': 1, 'Ohio': 2, 'Michigan': 6, 'Texas': 8, 'Ontario (Canada)': 5}","http://beeradvocate.com/beer/profile/886/35603/?sort=topr","Gubernija Brewery","146","60","8","160","34","98","39","11","5","1","562"
"67","Euro Strong Lager","Žaibo","41","{'Oklahoma': 2, 'Minnesota': 2, 'Illinois': 2, 'Arkansas': 1, 'Maryland': 1, 'Texas': 1, 'Arizona': 3, 'Iowa': 1, 'Michigan': 4, 'Virginia': 1, 'New Hampshire': 1, 'Idaho': 1, 'South Carolina': 1, 'California': 1, 'Georgia': 2, 'Pennsylvania': 4, 'Kentucky': 1, 'Missouri': 2, 'Ohio': 5, 'New Jersey': 2, 'Washington': 1, 'North Carolina': 1, 'District of Columbia': 1}","http://beeradvocate.com/beer/profile/12224/25884/?sort=topr","Rinkuškiai Alaus Darykloje","119","69","8","136","34","79","48","11","7","1","512"
"72","Euro Strong Lager","Zubr Bison","31","{'Manitoba (Canada)': 2, 'Quebec (Canada)': 1, 'Alberta (Canada)': 7, 'Nova Scotia (Canada)': 1, 'Illinois': 1, 'California': 1, 'Massachusetts': 3, 'Belgium': 1, 'United Kingdom (England)': 3, 'Ontario (Canada)': 11}","http://beeradvocate.com/beer/profile/3774/23486/?sort=topr","Pivovar Prerov","136","18","7","89","41","63","13","4","8","0","379"
"77","Euro Strong Lager","Reserva 1925","30","{'Brazil': 1, 'Vermont': 1, 'Netherlands': 1, 'Portugal': 1, 'United Kingdom (Scotland)': 1, 'California': 1, 'Quebec (Canada)': 1, 'Alberta (Canada)': 7, 'Nova Scotia (Canada)': 1, 'Sweden': 2, 'Australia': 1, 'Germany': 1, 'Ireland': 1, 'Switzerland': 1, 'Jordan': 1, 'United Kingdom (England)': 2, 'British Columbia (Canada)': 1, 'Spain': 3, 'Ontario (Canada)': 2}","http://beeradvocate.com/beer/profile/9262/16764/?sort=topr","Grupo Cervezas Alhambra, SL","106","42","5","84","52","59","9","3","8","2","370"
"71","Euro Strong Lager","Kalnapilis 7.30","34","{'Iowa': 1, 'Belarus': 1, 'Wisconsin': 1, 'Colorado': 2, 'New Jersey': 2, 'Lithuania': 1, 'Oklahoma': 1, 'Washington': 1, 'Virginia': 1, 'Kentucky': 1, 'Illinois': 5, 'Pennsylvania': 2, 'New York': 3, 'Florida': 4, 'Massachusetts': 1, 'Belgium': 1, 'Ohio': 2, 'Alabama': 2, 'Spain': 1, 'North Carolina': 1}","http://beeradvocate.com/beer/profile/1273/16755/?sort=topr","Alaus Darykla Kalnapilis","156","36","3","78","42","60","19","11","8","1","414"
"59","Euro Strong Lager","Bière Du Démon","26","{'Wisconsin': 2, 'Portugal': 1, 'Pennsylvania': 2, 'Quebec (Canada)': 1, 'Michigan': 1, 'New Hampshire': 2, 'Washington': 1, 'France': 2, 'Italy': 1, 'Belgium': 1, 'Connecticut': 1, 'California': 4, 'South Carolina': 1, 'Japan': 1, 'United Kingdom (England)': 1, 'United Kingdom (Northern Ireland)': 1, 'Ontario (Canada)': 1, 'Spain': 1, 'British Columbia (Canada)': 1}","http://beeradvocate.com/beer/profile/813/2525/?sort=topr","Les Brasseurs de Gayant","65","28","0","49","10","39","7","2","0","0","200"
"62","Euro Strong Lager","Tennent's Super Strong Lager","31","{'Iowa': 1, 'Italy': 4, 'Colorado': 1, 'United Kingdom (Scotland)': 1, 'New York': 1, 'New Jersey': 2, 'Virginia': 1, 'United Kingdom (Northern Ireland)': 1, 'Illinois': 1, 'Pennsylvania': 2, 'Connecticut': 1, 'Australia': 1, 'California': 2, 'Texas': 1, 'Ohio': 3, 'Belgium': 1, 'Japan': 1, 'United Kingdom (England)': 3, 'France': 1, 'Spain': 1, 'Ontario (Canada)': 1}","http://beeradvocate.com/beer/profile/53/1892/?sort=topr","Tennent Caledonian Breweries","78","48","4","56","17","43","14","0","5","0","265"
"74","Euro Strong Lager","Lomza Mocne","33","{'Korea (North)': 1, 'United Kingdom (Northern Ireland)': 1, 'Iowa': 1, 'Arizona': 1, 'Oregon': 1, 'New Jersey': 1, 'Virginia': 1, 'Georgia': 2, 'Kansas': 1, 'Washington': 3, 'Minnesota': 5, 'Kentucky': 1, 'Rhode Island': 1, 'Florida': 1, 'Pennsylvania': 1, 'New York': 3, 'California': 2, 'Massachusetts': 1, 'Illinois': 3, 'Louisiana': 1, 'North Carolina': 1}","http://beeradvocate.com/beer/profile/580/4794/?sort=topr","Browar Łomża Sp. z o.o.","152","36","9","119","39","64","41","9","10","0","479"
"64","Euro Strong Lager","Het Kanon","20","{'Netherlands': 8, 'Michigan': 1, 'Minnesota': 2, 'Kentucky': 1, 'Illinois': 1, 'Germany': 1, 'Oregon': 1, 'Belgium': 2, 'California': 1, 'Texas': 1, 'British Columbia (Canada)': 1}","http://beeradvocate.com/beer/profile/506/1428/?sort=topr","Grolsch Bierbrouwerij N.V.","48","20","5","63","16","38","10","7","4","0","211"
"76","Euro Strong Lager","XO Beer","30","{'Manitoba (Canada)': 1, 'Netherlands': 1, 'New Jersey': 1, 'Quebec (Canada)': 3, 'Alberta (Canada)': 3, 'France': 1, 'Australia': 3, 'Massachusetts': 1, 'Saskatchewan (Canada)': 1, 'Japan': 1, 'British Columbia (Canada)': 3, 'Norway': 1, 'Texas': 3, 'Ontario (Canada)': 7}","http://beeradvocate.com/beer/profile/4847/10679/?sort=topr","Brasserie Des Gabariers (L&amp;L Cognac SA)","45","40","10","66","13","51","25","8","13","7","278"
"70","Euro Strong Lager","Slavutich Mitzne","29","{'Arizona': 1, 'Wisconsin': 3, 'New Jersey': 1, 'Virginia': 1, 'Alberta (Canada)': 1, 'Minnesota': 2, 'Kentucky': 1, 'Illinois': 3, 'Maine': 1, 'Pennsylvania': 3, 'New York': 2, 'California': 1, 'Massachusetts': 4, 'Ohio': 1, 'Maryland': 2, 'Michigan': 2}","http://beeradvocate.com/beer/profile/709/2091/?sort=topr","Slavutych Brewery","121","31","8","97","29","59","36","7","8","0","396"
"74","Euro Strong Lager","Boss Beer","26","{'Korea (North)': 1, 'Iowa': 1, 'Colorado': 1, 'Pennsylvania': 2, 'Michigan': 1, 'Washington': 4, 'Virginia': 1, 'Oregon': 8, 'Illinois': 1, 'Connecticut': 1, 'California': 1, 'Massachusetts': 2, 'Maryland': 1, 'United Kingdom (England)': 1}","http://beeradvocate.com/beer/profile/5504/30761/?sort=topr","BOSS Browar Witnica S.A.","121","33","4","98","26","55","7","2","4","1","351"
"60","Euro Strong Lager","Bavaria Red","22","{'Australia': 1, 'Wisconsin': 1, 'Pennsylvania': 2, 'Florida': 1, 'Alberta (Canada)': 6, 'Washington': 1, 'Nova Scotia (Canada)': 1, 'France': 1, 'Connecticut': 1, 'California': 1, 'New Brunswick (Canada)': 1, 'Michigan': 1, 'Ontario (Canada)': 4}","http://beeradvocate.com/beer/profile/498/17726/?sort=topr","Bavaria Brouwerij N.V.","27","32","2","92","7","48","21","2","11","0","242"
"73","Euro Strong Lager","Aiko","25","{'Georgia': 1, 'Arizona': 2, 'Wisconsin': 1, 'Pennsylvania': 3, 'Oklahoma': 1, 'Florida': 1, 'North Carolina': 1, 'Illinois': 3, 'New Jersey': 1, 'Tennessee': 1, 'Arkansas': 1, 'Ohio': 2, 'Indiana': 2, 'New York': 1, 'Louisiana': 1, 'Michigan': 1, 'Idaho': 1, 'Ontario (Canada)': 1}","http://beeradvocate.com/beer/profile/12224/32780/?sort=topr","Rinkuškiai Alaus Darykloje","66","37","1","85","24","49","22","5","3","1","293"
"71","Euro Strong Lager","Arsenalnoye Krepkoye (Strong)","23","{'Wisconsin': 1, 'New Jersey': 1, 'Virginia': 3, 'Kentucky': 1, 'Illinois': 3, 'Pennsylvania': 3, 'New York': 3, 'California': 2, 'Massachusetts': 2, 'Missouri': 1, 'Ohio': 1, 'Alabama': 1, 'Rhode Island': 1}","http://beeradvocate.com/beer/profile/401/10841/?sort=topr","Baltika Breweries","87","21","3","56","22","40","20","0","5","1","255"
"78","Euro Strong Lager","Rycerskie","25","{'Georgia': 1, 'Iowa': 1, 'New Jersey': 3, 'Michigan': 1, 'Florida': 2, 'Minnesota': 2, 'Illinois': 2, 'Pennsylvania': 2, 'Connecticut': 2, 'Arizona': 2, 'California': 2, 'Massachusetts': 1, 'Missouri': 1, 'Ohio': 2, 'New York': 1}","http://beeradvocate.com/beer/profile/2438/6872/?sort=topr","Browar Namysłów Sp. z o.o.","113","24","6","74","27","46","27","4","4","2","327"
"61","Euro Strong Lager","Crest Super Premium Lager","20","{'Quebec (Canada)': 1, 'Alberta (Canada)': 1, 'North Carolina': 1, 'France': 1, 'Missouri': 1, 'Ohio': 1, 'United Kingdom (England)': 1, 'Ontario (Canada)': 13}","http://beeradvocate.com/beer/profile/975/7141/?sort=topr","Crest Brewing Company","71","12","5","34","19","33","3","0","3","0","180"
"60","Euro Strong Lager","Boris Bold","19","{'Pennsylvania': 1, 'Quebec (Canada)': 3, 'Alberta (Canada)': 4, 'Illinois': 1, 'Massachusetts': 1, 'Missouri': 1, 'Ontario (Canada)': 8}","http://beeradvocate.com/beer/profile/3218/24197/?sort=topr","Brasserie de Saverne","53","35","0","51","11","36","6","0","4","1","197"
"76","Euro Strong Lager","Tatra Mocne","18","{'Pennsylvania': 1, 'Netherlands': 1, 'Australia': 1, 'Colorado': 3, 'New Jersey': 1, 'Rhode Island': 1, 'Belgium': 1, 'Austria': 1, 'New York': 2, 'Ireland': 1, 'South Carolina': 1, 'United Kingdom (England)': 2, 'Illinois': 1, 'Ontario (Canada)': 1}","http://beeradvocate.com/beer/profile/623/21793/?sort=topr","Zywiec Breweries PLC (Heineken)","73","19","4","58","17","33","12","2","0","0","218"
"71","Euro Strong Lager","Efes Extra","17","{'Wisconsin': 1, 'Pennsylvania': 2, 'Florida': 1, 'Virginia': 2, 'North Carolina': 1, 'Illinois': 2, 'California': 1, 'Ohio': 2, 'United Kingdom (England)': 1, 'Maryland': 1, 'Texas': 1, 'Ontario (Canada)': 1}","http://beeradvocate.com/beer/profile/569/14169/?sort=topr","Anadolu Efes Brewery","57","24","2","39","19","33","19","7","2","0","202"
"71","Euro Strong Lager","Ceres Strong Ale Export","19","{'Italy': 1, 'Indiana': 1, 'New Jersey': 1, 'Florida': 1, 'Michigan': 1, 'New Hampshire': 1, 'Serbia': 1, 'North Carolina': 1, 'Pennsylvania': 1, 'Connecticut': 1, 'California': 2, 'Massachusetts': 1, 'Texas': 1, 'Ohio': 1, 'United Kingdom (England)': 1, 'Maryland': 1, 'Spain': 1, 'Ontario (Canada)': 1}","http://beeradvocate.com/beer/profile/269/4605/?sort=topr","Ceres Brewery (Royal Unibrew)","81","31","0","45","22","41","9","2","1","0","232"
"65","Euro Strong Lager","Special Brew","16","{'Australia': 3, 'India': 1, 'United Kingdom (Northern Ireland)': 1, 'Oregon': 1, 'Georgia': 1, 'California': 1, 'China': 1, 'United Kingdom (England)': 4, 'Bolivia': 1, 'Texas': 1, 'Ontario (Canada)': 1}","http://beeradvocate.com/beer/profile/721/4350/?sort=topr","Carlsberg Danmark A/S","39","23","2","29","10","22","2","0","1","1","129"
"76","Euro Strong Lager","Gordon Finest Gold","17","{'Australia': 1, 'Portugal': 1, 'Mexico': 2, 'Pennsylvania': 1, 'Florida': 1, 'Virginia': 1, 'France': 1, 'Netherlands': 1, 'Texas': 1, 'Belgium': 3, 'Maryland': 1, 'United Kingdom (England)': 1, 'Spain': 1, 'British Columbia (Canada)': 1}","http://beeradvocate.com/beer/profile/9534/26305/?sort=topr","John Martin's (John Martin SA)","36","18","2","42","18","25","12","4","4","1","162"
